Name: 板 | Level: 4 | in:{"level": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], "number": [1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u56db\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u56db\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e09\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e09\u8282\u81c2", "\u526f\u81c2\u652f\u67b6", "\u526f\u81c2\u652f\u67b6", "\u526f\u81c2\u652f\u67b6", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u6d3b\u52a8\u652f\u817f", "\u8c03\u6574\u57ab", "\u8c03\u6574\u57ab", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6\u4e3b\u4f53", "\u6cb9\u7f38\u652f\u5ea7", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u540e\u4e0a\u652f\u67b6", "\u540e\u4e0a\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u8fde\u63a5\u88c5\u7f6e", "\u8fde\u63a5\u88c5\u7f6e", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u811a\u76d8", "\u7ef3\u7f69", "\u7ef3\u7f69", "\u7ef3\u7f69", "\u7ef3\u7f69", "\u652f\u67b6", "\u652f\u67b6", "\u8c03\u6574\u57ab", "\u53f3\u652f\u67b6", "\u5de6\u652f\u67b6", "\u53f3\u652f\u67b6", "\u6c34\u7bb1\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u5de6\u652f\u67b6", "\u884c\u9a76\u652f\u67b6", "\u884c\u9a76\u652f\u67b6", "\u6321\u5757\u2161", "\u8fde\u63a5\u76d8", "\u652f\u67b6", "\u652f\u67b6", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u4e00\u8282\u81c2\uff08\u7535\u6c14\u652f\u67b6\u710a\u63a5\uff09", "\u6321\u5757\u2163", "\u652f\u67b6", "\u652f\u67b6", "\u8c03\u6574\u57ab", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u56db\u8282\u81c2", "\u6321\u5757\u2162", "\u540e\u4e0b\u652f\u5ea7", "\u540e\u4e0b\u652f\u5ea7", "\u8c03\u6574\u57ab", "\u6321\u5757\u2160", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u5e73\u8861\u6881", "\u6321\u7ef3\u677f", "\u6321\u7ef3\u677f", "\u8f6f\u8f74\u652f\u67b6", "\u4e94\u8282\u81c2", "\u4e94\u8282\u81c2", "\u4e94\u8282\u81c2", "\u4e94\u8282\u81c2", "\u62c9\u6746", "\u52a0\u957f\u6bb5", "\u52a0\u957f\u6bb5", "\u52a0\u957f\u6bb5", "\u8c03\u6574\u57ab", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u4f38\u81c2\u5f00\u5173\u5b89\u88c5", "\u652f\u67b6", "\u62c9\u677f"]}
Name: 板 | Level: 6 | in:{"level": [5, 5, 5, 5, 5, 5, 5, 5, 5, 5], "number": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u69fd\u677f", "\u69fd\u677f", "\u69fd\u677f", "\u5587\u53ed\u652f\u67b6", "\u5587\u53ed\u652f\u67b6", "\u62c9\u677f", "\u62c9\u677f"]}
Name: 板 | Level: 5 | in:{"level": [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], "number": [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u652f\u67b6", "\u652f\u67b6", "\u540a\u8033", "\u81c2\u5934", "\u81c2\u5934", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u652f\u67b6", "\u652f\u67b6", "\u63a5\u53c9", "\u5c3e\u6cf5\u652f\u67b6", "\u6258\u8f8a\u67b6", "\u9650\u4f4d\u5ea7", "\u9650\u4f4d\u5ea7", "\u9650\u4f4d\u5ea7", "\u7ba1\u5361", "\u4fa7\u677f", "\u4fa7\u677f", "\u63a5\u53c9", "\u6cb9\u6cf5\u652f\u67b6", "\u6cb9\u6cf5\u652f\u67b6", "\u6cb9\u6cf5\u652f\u67b6", "\u706f\u67b6", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u56db\u8282\u81c2\u7b52\u4f53", "\u56db\u8282\u81c2\u7b52\u4f53", "\u5e95\u677f", "\u540e\u7c27\u540e\u652f\u67b6", "\u652f\u67b6", "\u6cb9\u6cf5\u652f\u67b6", "\u6cb9\u6cf5\u652f\u67b6", "\u652f\u67b6", "\u6258\u8f8a\u67b6", "\u8f6c\u5411\u5668\u652f\u67b6", "\u8f6c\u5411\u5668\u652f\u67b6", "\u8f6c\u5411\u5668\u652f\u67b6", "\u8f6c\u5411\u5668\u652f\u67b6", "\u8f6c\u5411\u5668\u652f\u67b6", "\u526f\u94a9\u56fa\u5b9a", "\u526f\u94a9\u56fa\u5b9a", "\u4e00\u8282\u81c2\u7b52\u4f53", "\u652f\u5ea7", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u63a5\u53c9", "\u7acb\u67f1", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u81c2\u5934", "\u540e\u7c27\u524d\u652f\u67b6", "\u540e\u7c27\u524d\u652f\u67b6", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u652f\u67b6", "\u652f\u67b6", "\u62c9\u677f", "\u4e09\u8282\u81c2\u7b52\u4f53", "\u4fa7\u677f", "\u4fa7\u677f", "\u540e\u7c27\u9650\u4f4d\u5ea7", "\u5de6\u652f\u67b6", "\u53f3\u652f\u67b6", "\u5de6\u652f\u67b6", "\u5c3e\u652f\u5ea7", "\u5c3e\u652f\u5ea7", "\u5c3e\u652f\u5ea7", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u5de6\u652f\u67b6", "\u5de6\u652f\u67b6", "\u4e3b\u6746", "\u4e3b\u6746", "\u53f3\u652f\u67b6", "\u63a5\u53c9", "\u53d1\u52a8\u673a\u524d\u652f\u5ea7", "\u63a5\u76d8", "\u63a5\u76d8", "\u71c3\u6cb9\u7bb1\u652f\u67b6", "\u71c3\u6cb9\u7bb1\u652f\u67b6", "\u4e8c\u8282\u81c2\u7b52\u4f53", "\u4e8c\u8282\u81c2\u7b52\u4f53", "\u4e8c\u8282\u81c2\u7b52\u4f53", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u53e3\u7b8d", "\u63a5\u53c9", "\u62c9\u677f", "\u62c9\u677f", "\u4e94\u8282\u81c2\u7b52\u4f53", "\u4e94\u8282\u81c2\u7b52\u4f53"]}
Name: 板 | Level: 3 | in:{"level": [2, 2, 2, 2, 2, 2, 2, 2, 2], "number": [1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u53d8\u901f\u5668\u548c\u64cd\u7eb5", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2", "\u8d77\u91cd\u81c2"]}
Name: 三节臂 | Level: 3 | in:{"level": [2], "number": [1], "name": ["\u8d77\u91cd\u81c2"]}
Name: 硬管总成 | Level: 4 | in:{"level": [3, 3, 3, 3], "number": [1, 2, 1], "name": ["\u524d\u652f\u817f\u6392\u7ba1", "\u524d\u652f\u817f\u6392\u7ba1", "\u540e\u652f\u817f\u6392\u7ba1", "\u540e\u652f\u817f\u6392\u7ba1"]}
Name: 硬管总成 | Level: 3 | in:{"level": [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2], "number": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u4e0a\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u88682\uff09", "\u5236\u52a8\u7cfb\uff08\u5b89\u88c5\u56fe\uff09", "\u5236\u52a8\u7cfb\uff08\u5b89\u88c5\u56fe\uff09", "\u5236\u52a8\u7cfb\uff08\u5b89\u88c5\u56fe\uff09", "\u4f38\u81c2\u6cb9\u7f38", "\u4f38\u81c2\u6cb9\u7f38", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09", "\u4e0b\u8f66\u6db2\u538b\u7cfb\u7edf\uff08\u6392\u7ba1\u56fe\uff09"]}
Name: 立板 | Level: 4 | in:{"level": [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3], "number": [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1], "name": ["\u4e09\u8282\u81c2", "\u6ed1\u8f6e\u7f69", "\u4e0a\u652f\u5ea7II", "\u526f\u8d77\u91cd\u81c2\u4e3b\u4f53", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u4e8c\u8282\u81c2", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6"]}
Name: 立板 | Level: 5 | in:{"level": [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4], "number": [4, 4, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1], "name": ["\u5de6\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u81c2\u5934", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u53f3\u652f\u5ea7", "\u5de6\u652f\u5ea7", "\u540e\u7c27\u540e\u652f\u67b6", "\u81c2\u5934", "\u81c2\u5934", "\u524d\u7c27\u540e\u652f\u67b6"]}
Name: 支承轨ZG28 | Level: 5 | in:{"level": [4, 4], "number": [1, 1], "name": ["\u7ba1\u5361", "\u50a8\u6c14\u7b52\u652f\u67b6"]}
Name: 支承轨ZG28 | Level: 4 | in:{"level": [3, 3, 3, 3, 3], "number": [1, 1, 1, 1, 1], "name": ["\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6", "\u652f\u67b6"]}
