plm_m_oid,plm_oid,plm_m_id,plm_i_name,plm_i_createtime,plm_i_checkintime,plm_cailiao,plm_checkintime,plm_weight,plm_wllx,plm_wlly,plm_guige,plm_gylx
1,1,1,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",34.761176942745166,企标件,外购,NULL,NULL
2,2,2,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",52.75495752785312,国标件,外协,NULL,NULL
3,3,3,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",66.72546220246369,产品配套,外协,NULL,NULL
4,4,4,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",55.16102088242588,专用零件,自制,NULL,NULL
5,5,5,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",32.12297421147964,国标件,外协,NULL,NULL
6,6,6,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",55.64041808572561,国标件,外协,NULL,NULL
7,7,7,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",99.58791205340486,非标外购件,外购,NULL,NULL
8,8,8,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",56.10214876332752,机加件,外购,NULL,NULL
9,9,9,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",98.88317792238448,国标件,外购,NULL,NULL
10,10,10,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",65.5126786187165,非标外购件,外协,NULL,NULL
11,11,11,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",86.80011765936743,专用部件,外购,NULL,NULL
12,12,12,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",83.08588931904896,专用零件,外购,NULL,NULL
13,13,13,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",8.34521817280317,专用部件,自制,NULL,NULL
14,14,14,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",84.24579696871952,专用零件,外协,NULL,NULL
15,15,15,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",85.56255604791862,产品配套,外购,NULL,NULL
16,16,16,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",7.174915017598515,专用零件,外购,NULL,NULL
17,17,17,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",54.148449809319,专用零件,外购,NULL,NULL
18,18,18,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",33.02471684436756,专用零件,自制,NULL,NULL
19,19,19,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",0.6621009958614033,国标件,外协,NULL,NULL
20,20,20,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",85.3492374319771,专用部件,外协,NULL,NULL
21,21,21,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",81.32093498660431,专用零件,自制,NULL,NULL
22,22,22,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",35.394865624706505,国标件,自制,NULL,NULL
23,23,23,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",92.22375647123287,产品配套,自制,NULL,NULL
24,24,24,板,"2018-09-15 21:21:09","2018-09-15 21:21:09",板,"2018-09-15 21:21:09",37.864501118667185,产品配套,外购,NULL,NULL
