plm_oid,plm_leftobj,plm_rightobj,plm_createtime,plm_order,plm_jianhao,plm_number
1,787,1,"2018-09-15 21:21:09",18,41,19
2,788,2,"2018-09-15 21:21:09",9,16,16
3,809,3,"2018-09-15 21:21:09",50,15,34
4,806,3,"2018-09-15 21:21:09",18,44,50
5,789,4,"2018-09-15 21:21:09",28,29,22
6,790,5,"2018-09-15 21:21:09",41,12,6
7,791,6,"2018-09-15 21:21:09",36,17,35
8,792,7,"2018-09-15 21:21:09",28,35,8
9,794,8,"2018-09-15 21:21:09",39,0,21
10,816,9,"2018-09-15 21:21:09",14,25,0
11,818,9,"2018-09-15 21:21:09",36,9,3
12,795,10,"2018-09-15 21:21:09",11,8,43
13,797,11,"2018-09-15 21:21:09",14,2,16
14,798,12,"2018-09-15 21:21:09",48,3,5
15,819,13,"2018-09-15 21:21:09",6,19,8
16,799,14,"2018-09-15 21:21:09",45,42,17
17,796,15,"2018-09-15 21:21:09",28,48,31
18,806,15,"2018-09-15 21:21:09",40,41,41
19,816,16,"2018-09-15 21:21:09",30,13,28
20,809,16,"2018-09-15 21:21:09",17,31,44
21,818,17,"2018-09-15 21:21:09",17,4,24
22,819,17,"2018-09-15 21:21:09",1,16,23
23,796,18,"2018-09-15 21:21:09",45,6,27
24,806,18,"2018-09-15 21:21:09",25,1,45
25,801,19,"2018-09-15 21:21:09",3,50,6
26,802,19,"2018-09-15 21:21:09",14,44,46
27,804,20,"2018-09-15 21:21:09",4,22,33
28,805,21,"2018-09-15 21:21:09",32,4,41
29,808,22,"2018-09-15 21:21:09",46,2,36
30,810,22,"2018-09-15 21:21:09",4,26,17
31,811,23,"2018-09-15 21:21:09",21,32,29
32,812,24,"2018-09-15 21:21:09",38,0,36
33,809,25,"2018-09-15 21:21:09",30,44,7
34,813,26,"2018-09-15 21:21:09",12,40,36
35,816,27,"2018-09-15 21:21:09",29,50,45
36,818,28,"2018-09-15 21:21:09",40,5,48
37,819,29,"2018-09-15 21:21:09",44,23,35
38,796,30,"2018-09-15 21:21:09",15,27,23
39,814,31,"2018-09-15 21:21:09",47,47,5
40,815,32,"2018-09-15 21:21:09",41,23,36
41,820,33,"2018-09-15 21:21:09",18,5,14
42,821,34,"2018-09-15 21:21:09",32,43,33
43,822,34,"2018-09-15 21:21:09",49,8,1
44,823,35,"2018-09-15 21:21:09",12,20,27
45,825,36,"2018-09-15 21:21:09",22,37,11
46,826,37,"2018-09-15 21:21:09",47,48,14
47,827,38,"2018-09-15 21:21:09",42,0,2
48,828,39,"2018-09-15 21:21:09",26,15,43
49,829,40,"2018-09-15 21:21:09",30,25,24
50,830,41,"2018-09-15 21:21:09",0,48,21
51,806,42,"2018-09-15 21:21:09",44,3,31
52,816,43,"2018-09-15 21:21:09",46,30,31
53,809,43,"2018-09-15 21:21:09",9,0,13
54,787,44,"2018-09-15 21:21:09",8,39,10
55,818,45,"2018-09-15 21:21:09",41,27,1
56,819,45,"2018-09-15 21:21:09",36,48,13
57,788,46,"2018-09-15 21:21:09",21,23,18
58,789,47,"2018-09-15 21:21:09",3,17,31
59,790,48,"2018-09-15 21:21:09",43,16,19
60,791,49,"2018-09-15 21:21:09",29,40,47
61,792,50,"2018-09-15 21:21:09",21,3,15
62,796,51,"2018-09-15 21:21:09",39,1,1
63,806,51,"2018-09-15 21:21:09",30,22,27
64,816,52,"2018-09-15 21:21:09",39,19,46
65,809,52,"2018-09-15 21:21:09",30,6,43
66,794,53,"2018-09-15 21:21:09",47,42,4
67,818,54,"2018-09-15 21:21:09",6,6,22
68,819,55,"2018-09-15 21:21:09",9,32,10
69,795,56,"2018-09-15 21:21:09",41,36,17
70,797,57,"2018-09-15 21:21:09",47,46,11
71,798,58,"2018-09-15 21:21:09",36,24,19
72,799,59,"2018-09-15 21:21:09",42,48,7
73,801,60,"2018-09-15 21:21:09",46,2,46
74,796,61,"2018-09-15 21:21:09",22,9,20
75,802,62,"2018-09-15 21:21:09",14,41,40
76,804,63,"2018-09-15 21:21:09",8,1,27
